study;sample;Larcenist_type;type_study;Larcenist_behavior;tips_phylo;sp_plant;sp_genus;plant_family;self_compatible;players;Type_of_metric;n_larcenist;mean_larcenist;sd_larcenist;n_control;mean_control;sd_control;yi;vi
Andaloetal2019;3;Robbers;Experimental;Experimental;Antirrhinum_valentinum;Antirrhinum_valentinum;Antirrhinum;Plantaginaceae;no;insect-insect;female;13;519.89;200.1;10;590.81;352.22;-0.127877226;0.046936578
Andaloetal2019;4;Robbers;Experimental;Experimental;Antirrhinum_valentinum;Antirrhinum_valentinum;Antirrhinum;Plantaginaceae;no;insect-insect;female;20;454.08;248.71;20;507.65;298.35;-0.11151884;0.032270056
Andaloetal2019;2;Robbers;Experimental;Experimental;Antirrhinum_valentinum;Antirrhinum_valentinum;Antirrhinum;Plantaginaceae;no;insect-insect;female;39;0.326;0.341;35;0.356;0.397;-0.088033349;0.063586368
Andaloetal2019;1;Robbers;Experimental;Experimental;Antirrhinum_valentinum;Antirrhinum_valentinum;Antirrhinum;Plantaginaceae;no;insect-insect;female;30;0.25;0.34;25;0.22;0.32;0.127833372;0.146281433
Arizmendieetal1996;5;Robbers;Experimental;Facultative;Salvia_mexicana;Salvia_mexicana;Salvia;Lamiaceae;yes;bird-bird;female;30;0.9;1.2;30;2.5;1.2;-1.021651248;0.066939259
Arizmendieetal1996;6;Robbers;Non-Experimental;Facultative;Salvia_mexicana;Salvia_mexicana;Salvia;Lamiaceae;yes;bird-bird;nectar;10;23.3;3.2;10;25.07;1.1;-0.073218552;0.002078722
Arizmendieetal1996;7;Robbers;Non-Experimental;Facultative;Fuchsia_microphylla;Fuchsia_microphylla;Fuchsia;Onagraceae;yes;NA;nectar;10;21.2;4.9;10;15.3;3.5;0.326148353;0.010575234
Bergamo&Sazima2018;8;Robbers;Non-Experimental;Obligatory;Besleria_longimucronata;Besleria_longimucronata;Besleria;Gesneriaceae;yes;insect-bird;female;30;261;40.92;30;360.3;53.6;-0.32241661;0.001557049
Bergamo&Sazima2018;9;Robbers;Non-Experimental;Obligatory;Crotalaria_vitellina;Crotalaria_vitellina;Crotalaria;Fabaceae;yes;insect-insect;female;30;10.83;1.98;30;10.23;2.37;0.056995481;0.002903229
Brodyetal2008;10;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;yes;insect-bird;female;20;92.3;16.7;20;291.1;47.4;-1.148622709;0.002962506
Brodyetal2008;11;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;yes;insect-bird;female;11;63.62;20.18;10;150.25;22.31;-0.859372687;0.01135146
Brodyetal2008;12;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;yes;insect-bird;female;20;4.1;0.4;20;7.5;1.2;-0.603916047;0.001755907
Brodyetal2008;13;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;yes;insect-bird;female;20;89.7;15.4;20;144.9;19.2;-0.47957308;0.00235164
Brodyetal2008;14;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;yes;insect-bird;female;20;48.9;3.49;20;74.6;3.49;-0.422363111;0.000364117
Brodyetal2008;15;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;yes;insect-bird;female;20;3.14;0.4;20;4.4;0.3;-0.337381741;0.00104383
