study;sample;Larcenist_type;type_study;Larcenist_behavior;tips_phylo;sp_plant;sp_genus;plant_family;Matting_system;flower_morph;flower_type;inflorescence;larce_group;pollinator;players;Type_of_metric;original_metric;n_larcenist;mean_larcenist;v_larcenist;n_control;mean_control;v_control;Variation_metric;sd_larcenist;sd_control;yi;vi
Irwinetal2015;250;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;zygomorphic;tube;yes;bees;birds;insect-bird;male;pollen_siring_probability;30;75.78;3.45;30;77.8;3.49;SE;0.629880941;0.637183909;-0.026307026;4.54E-06
Tameles&Pan_2022;185;Robbers;Experimental;Experimental;Impatiens_capensis;Impatiens_capensis;Impatiens;Balsaminaceae;self_compatible;zygomorphic;tube;no;bees;bees;insect-insect;male;pollen_remaning;37;58784;42.32;23;5900;13.2;SE;257.4225103;63.30497611;2.298917358;5.52E-06
Irwin&Brody1999;248;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;seed_mass;15;0.99;0.05;15;0.94;0.04;SE;0.012909944;0.010327956;0.051825068;1.94E-05
Irwin&Brody1999;245;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;pollen_deposition_on_stigma;15;58.93;3.16;15;69.11;4.57;SE;0.815908492;1.179968926;-0.159349139;3.22E-05
Irwin&Brody1999;243;Robbers;Non-Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;seed_mass;7;0.9;0.03;9;0.94;0.03;SE;0.011338934;0.01;-0.043485112;3.53E-05
Rojas-Nossaetal2016;166;Robbers;Experimental;Experimental;Lonicera_etrusca;Lonicera_etrusca;Lonicera;Caprifoliaceae;self_compatible;zygomorphic;tube;yes;bees;hawkmoth;insect-insect;female;mean_seed_weight;50;1.06;0.05;50;7.89;0.03;SD;0.05;0.03;-2.007327227;4.48E-05
Irwin&Brody1999;247;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;seed_per_fruit;15;5.4;0.37;15;6.39;0.48;SE;0.095533589;0.123935467;-0.168335315;4.59E-05
Zhangetal2009a;232;Robbers;Non-Experimental;Facultative;Corydalis_tomentella;Corydalis_tomentella;Corydalis;Papaveraceae;self_compatible;zygomorphic;tube;yes;bees;bees;insect-insect;female;seed_set_per_plant;73;97.2;0.6;118;98.4;0.4;SE;5.126;4.345;-0.012270093;5.46E-05
Irwin&Brody1999;246;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;fruit_set_per_plant;15;51.42;3.78;15;46.43;4.54;SE;0.975991803;1.172222959;0.1020814;6.65E-05
Mallof_2001;257;Robbers;Non-Experimental;Obligatory;Corydalis_caseana;Corydalis_caseana;Corydalis;Papaveraceae;self_compatible;zygomorphic;tube;yes;bees;bees;insect-insect;female;proportion_of_flowers_turning_into_fruits;32;62.7;14.25;69;54.15;23.7;2SE;1.259533954;4.356977575;0.146603474;0.000106437
Rojas-Nossaetal2016;168;Robbers;Experimental;Experimental;Lonicera_etrusca;Lonicera_etrusca;Lonicera;Caprifoliaceae;self_compatible;zygomorphic;tube;yes;bees;hawkmoth;insect-insect;female;seed/ovule_ratio;50;1.21;0.06;50;1.187;0.065;SD;0.06;0.065;0.019191244;0.00010915
Irwinetal2015;249;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;polen_receipt;24;23.8;5.5;24;48.42;8.8;SE;1.122682799;1.796292478;-0.710227371;0.000150059
Heillingetal_2018;101;Robbers;Non-Experimental;Facultative;Corydalis_caseana;Corydalis_caseana;Corydalis;Papaveraceae;self_compatible;NA;tube;yes;bees;bees;insect-insect;female;pollen_tube_per_stile;15;57.6;2.2;15;60.4;2.7;SD;2.2;2.7;-0.047466537;0.000230472
Castroetal_2008;34;Robbers;Non-Experimental;Obligatory;Polygala_vayredae;Polygala_vayredae;Polygala;Polygalaceae;self_incompatible;zygomorphic;tube;yes;bees;bees;insect-insect;female;mean_seed_weight;200;7.86;1.1;200;8.23;1.42;SD;1.1;1.42;-0.045999408;0.000246778
Irwinetal_2008;251;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;seed_set_per_plant;25;0.55;0.17;25;1.25;0.31;SE;0.034;0.062;-0.820980552;0.000251266
McDonald&Caruso2019;135;Robbers;Experimental;Experimental;Impatiens_capensis;Impatiens_capensis;Impatiens;Balsaminaceae;self_compatible;zygomorphic;tube;no;bees;bees;insect-insect;female;seed_set_per_plant;28;2.78;0.22;31;3.2;0.175;SE;0.22;0.175;-0.140699882;0.00032014
Varma&Sinu2019;193;Robbers;Non-Experimental;NA;Sesamum_radiatum;Sesamum_radiatum;Sesamum;Pedaliaceae;self_compatible;zygomorphic;tube;no;bees;bees;insect-insect;female;seed_set_per_plant;29;3.8;0.26;29;3.8;0.27;SD;0.26;0.27;0;0.000335514
Carrio&Guemes2019;32;Robbers;Non-Experimental;Facultative;Antirrhinum_valentinum;Antirrhinum_valentinum;Antirrhinum_valentinum;Plantaginaceae;self_incompatible;zygomorphic;tube;yes;bees;bees;insect-insect;female;seed_set_per_plant;20;87;4.8;20;81.67;5;SD;4.8;5;0.063221381;0.000339606
Carrio&Guemes2019;31;Robbers;Non-Experimental;Facultative;Antirrhinum_valentinum;Antirrhinum_valentinum;Antirrhinum_valentinum;Plantaginaceae;self_incompatible;zygomorphic;tube;yes;bees;bees;insect-insect;female;seed_set_per_plant;20;86.7;5.2;20;83.33;5;SD;5.2;5;0.039645255;0.000359876
Brodyetal2008;14;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_compatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;percentage_of_fruit_set;20;48.9;3.49;20;74.6;3.49;SD;3.49;3.49;-0.422363111;0.000364117
Brodyetal2008;16;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_compatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;percentage_of_fruit_set;20;46.6;2.2;20;64.4;4.76;SD;2.2;4.76;-0.323513092;0.000384598
Burkleetal_2007;265;Robbers;Non-Experimental;Obligatory;Linaria_vulgaris;Linaria_vulgaris;Linaria;Scrophulariaceae;self_compatible;zygomorphic;non-tube;yes;bees;birds;insect-bird;female;seed_per_fruit;18;111.44;13.47;18;41.79;13.96;SE;3.174909448;3.290403555;0.980829253;0.000389507
Burkleetal_2007;22;Robbers;Non-Experimental;Obligatory;Delphinium_nuttallianum;Delphinium_nuttallianum;Delphinium;Ranunculaceae;self_compatible;zygomorphic;non-tube;yes;bees;birds;insect-bird;female;seed_set_per_plant;30;52.7;4.6;30;67.8;4.5;SD;4.6;4.5;-0.251946739;0.000400805
