study;sample;Larcenist_type;type_study;tips_phylo;sp_plant;sp_genus;plant_family;Matting_system;players;Type_of_metric;n_larcenist;mean_larcenist;sd_larcenist;n_control;mean_control;sd_control;yi;vi
Elyiahuetak2015;71;Robbers;Non-Experimental;Arctostaphylos_pungens;Arctostaphylos_pungens;Arctostaphylos;Ericaceae;self_incompatible;NA;female;50;2.9;34.64823228;50;27.8;48.7903679;-2.260325284;2.916538556
Rojas-Nossaetal2016;166;Robbers;Experimental;Lonicera_etrusca;Lonicera_etrusca;Lonicera;Caprifoliaceae;self_compatible;insect-insect;female;50;1.06;0.05;50;7.89;0.03;-2.007327227;4.48E-05
Richmanetal_2018;153;Robbers;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;insect-bird;male;10;0.04;0.18973666;10;0.23;0.18973666;-1.749199855;2.31805294
Irwin&Brody1999;244;Robbers;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;insect-bird;male;15;0.01;0.002581989;15;0.05;0.002581989;-1.609437912;0.004622223
Richardson_2004;150;Robbers;Non-Experimental;Chilopsis_linearis;Chilopsis_linearis;Chilopsis;Bignoniaceae;self_incompatible;insect-insect;female;4;0.5;1.2;42;1.7;2.13864443;-1.223775432;1.477681661
Brodyetal2008;10;Robbers;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_compatible;insect-bird;female;20;92.3;16.7;20;291.1;47.4;-1.148622709;0.002962506
Richmanetal_2018;154;Robbers;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;insect-bird;female;40;22;29.53567335;40;68.22;50.59644256;-1.131695324;0.058811416
Irwin&Brody1999;239;Robbers;Non-Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;insect-bird;male;3;0.01;0.005773503;3;0.03;0.005773503;-1.098612289;0.123456803
Arizmendieetal1996;5;Robbers;Experimental;Salvia_mexicana;Salvia_mexicana;Salvia;Lamiaceae;self_compatible;bird-bird;female;30;0.9;1.2;30;2.5;1.2;-1.021651248;0.066939259
Higashietal;104;Robbers;Non-Experimental;Corydalis_ambigua;Corydalis_ambigua;Corydalis;Papaveraceae;self_compatible;insect-insect;female;221;24.6;25.5;32;63.7;31.9;-0.95143812;0.012699081
Richmanetal_2018;155;Robbers;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;insect-bird;female;40;0.22;0.126491106;40;0.54;0.18973666;-0.897941593;0.011350883
Burkleetal_2007;266;Robbers;Experimental;Linaria_vulgaris;Linaria_vulgaris;Linaria;Scrophulariaceae;self_compatible;insect-bird;female;11;63.62;6.084498934;10;150.25;7.05504146;-0.859372687;0.001051995
Brodyetal2008;11;Robbers;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_compatible;insect-bird;female;11;63.62;20.18;10;150.25;22.31;-0.859372687;0.01135146
Zhangetal_2010a;213;Robbers;Non-Experimental;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;self_compatible;insect-insect;female;4;34.72;10.9;4;79.77;13.68;-0.831831604;0.031992061
Irwinetal_2008;251;Robbers;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;insect-bird;female;25;0.55;0.034;25;1.25;0.062;-0.820980552;0.000251266
Irwinetal2015;249;Robbers;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;insect-bird;female;24;23.8;1.122682799;24;48.42;1.796292478;-0.710227371;0.000150059
Burkleetal_2007;21;Robbers;Experimental;Delphinium_nuttallianum;Delphinium_nuttallianum;Delphinium;Ranunculaceae;self_compatible;insect-bird;female;27;49.8;10.1;24;97.9;10.4;-0.675931566;0.00199363
Brodyetal2008;12;Robbers;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_compatible;insect-bird;female;20;4.1;0.4;20;7.5;1.2;-0.603916047;0.001755907
Dedej&Delaplane_2005;59;Robbers;Non-Experimental;Vaccinium_ashei;Vaccinium_ashei;Vaccinium;Ericaceae;self_incompatible;insect-insect;female;37;10.3;4.257933771;38;18.6;8.013738204;-0.591017685;0.009503678
Irwin&Brody1999;241;Robbers;Non-Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;insect-bird;female;7;34.33;2.109041759;9;61.54;1.073333333;-0.583667762;0.000572968
Cuevas-Garciaetal2013;42;Robbers;Non-Experimental;Salvia_gesnerifolia;Salvia_gesnerifolia;Salvia;Lamiaceae;self_compatible;NA;female;10;0.75;0.537587202;10;1.28;0.790569415;-0.53454215;0.08952475
Brodyetal2008;13;Robbers;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_compatible;insect-bird;female;20;89.7;15.4;20;144.9;19.2;-0.47957308;0.00235164
Mackinetal_2021;119;Robbers;Experimental;Digitalis_purpurea;Digitalis_purpurea;Digitalis;Plantaginaceae;self_compatible;NA;female;72;510.7;71.18;87;823.6;49.98;-0.477902642;0.000312135
Dedej&Delaplane_2005;61;Robbers;Non-Experimental;Vaccinium_ashei;Vaccinium_ashei;Vaccinium;Ericaceae;self_incompatible;insect-insect;female;64;10.6;5.6;63;17;7.937253933;-0.472359343;0.00782119
Irwinetal_2008;252;Robbers;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;insect-bird;female;15;0.6;0.061967734;15;0.96;0.077459667;-0.470003629;0.001145139
